tweet,label
"""[T]he label of the popular Lysol already show that the product Kill the Coronavirus, so that means that this Virus is nothing new.""",fake
There were more deaths on the roads of France in July than death from COVID-19,fake
250 new cases of #COVID19Nigeria; Plateau-69 FCT-41 Lagos-21 Delta-14 Kaduna-14 Bayelsa-13 Enugu-13 Ekiti-11 Bauchi-9 Ogun-8 Edo-7 Oyo-7 Rivers-6 Adamawa-4 Osun-4 Nasarawa-3 Ebonyi-2 Kwara-2 Gombe-1 Imo-1 53727 confirmed 41314 discharged 1011 deaths https://t.co/e96xHJ8Ndt,real
"@XanderArmstrong Why was chloroquine described as a ""wonder drug"" against corona viruses by WHO in 2005, yet in 2020 there has been a coordinated campaign against it?

Why would Big Pharma be against a cheap effective drug?

#BigPharmaPuppets",fake
Our new Can Compare 'College' tags make it easier to see the COVID impact on 'college towns'. This discovery of college-related outbreaks is only one of many insights to be pulled from this tool: https://t.co/a7UjmMsZxm https://t.co/Azz6ellBlM https://t.co/tVwEMZZPDh,real
There is a higher risk of severe #COVID19 for people living with: 🔸#Diabetes 🔸High blood pressure 🔸Asthma and other respiratory diseases 🔸Cancers 🔸Heart disease https://t.co/iS1PEDrlYR,real
The President of the United States of America Donald Trump has been tested positive for COVID-19.,fake
Don't give up on patients who still report symptoms months later. https://t.co/FzqgCjWVgP,real
Here's a map of the number of new cases reported today. Note that Ohio and Alabama both almost broke 1000. https://t.co/Fe2iixSRnH,real
"Holy Qur'an was banned in China now ban
Has been lifted Chinese Muslims are allowed
to read Holy Quran",fake
Australia appears to be heading for its lowest daily increase in #coronavirus cases in three months as a state leader said infection spikes in Europe served as a warning about the dangers of exiting lockdown too soon https://t.co/FHd1mk3hcw,real
NEWS! Stoner surprised to learn Britain is on lockdown https://t.co/JwcTrMcBV9 https://t.co/tnizTVaMB8,fake
Everyone who was at the Grand Millennium while these people were there has or will be tested as part of the testing at around days 3 and 12. This result was picked up in the woman's day three test and is an example of the new testing regime working as it should.⁣ ⁣ ⁣,real
Reduced retail activity and a temporary reduction in coin production both due to COVID-19 caused a national coin shortage. The shortage was not part of a plan to eliminate paper money. https://t.co/fxP7Cq5Lvl,fake
